date,c1,c2,c3,c4,c5,c6,c7,c8,h1
13Sep2020,1,2,2,4,1,1,2,2,2
14Sep2020,1,2,2,4,1,1,2,2,2
15Sep2020,1,2,2,4,1,1,2,2,2
16Sep2020,1,2,2,4,1,1,2,2,2
17Sep2020,1,2,2,4,1,1,2,2,2
18Sep2020,1,2,2,4,1,1,2,2,2
19Sep2020,1,2,2,4,1,1,2,2,2
20Sep2020,1,2,2,4,1,1,2,2,2
21Sep2020,1,2,2,4,1,1,2,2,2
22Sep2020,1,2,2,4,1,1,2,2,2
23Sep2020,1,2,2,4,1,1,2,2,2
24Sep2020,1,2,2,4,1,1,2,2,2
25Sep2020,1,2,2,4,1,1,2,2,2
26Sep2020,1,2,2,4,1,1,2,2,2
27Sep2020,1,2,2,4,1,1,2,2,2
28Sep2020,1,2,2,4,1,1,2,2,2
29Sep2020,1,2,2,4,1,1,2,2,2
30Sep2020,1,2,2,4,1,1,2,2,2
01Oct2020,1,2,2,4,1,1,2,2,2
02Oct2020,1,2,2,4,1,1,2,2,2
03Oct2020,1,2,2,4,1,1,2,2,2
04Oct2020,1,2,2,4,1,1,2,2,2
05Oct2020,1,2,2,4,1,1,2,2,2
06Oct2020,1,2,2,4,1,1,2,2,2
07Oct2020,1,2,2,4,1,1,2,2,2
08Oct2020,1,2,2,4,1,1,2,2,2
09Oct2020,1,2,2,4,1,1,2,2,2
10Oct2020,1,2,2,4,1,1,2,2,2
11Oct2020,1,2,2,4,1,1,2,2,2
12Oct2020,1,2,2,4,1,1,1,2,2
13Oct2020,1,2,2,4,1,1,1,2,2
14Oct2020,1,2,2,4,1,1,1,2,2
15Oct2020,1,2,2,4,1,1,1,2,2
16Oct2020,1,2,2,4,1,1,1,2,2
17Oct2020,1,2,2,4,1,1,1,2,2
18Oct2020,1,2,2,4,1,1,1,2,2
19Oct2020,3,2,2,4,1,1,1,2,2
20Oct2020,3,2,2,4,1,1,1,2,2
21Oct2020,3,2,2,4,1,1,1,2,2
22Oct2020,3,2,2,4,1,1,1,2,2
23Oct2020,3,2,2,4,1,2,2,2,2
24Oct2020,3,2,2,4,1,2,2,2,2
25Oct2020,3,2,2,4,1,2,2,2,2
26Oct2020,3,2,2,4,1,2,2,2,2
27Oct2020,3,2,2,4,1,2,2,2,2
28Oct2020,3,2,2,4,1,2,2,2,2
29Oct2020,3,2,2,4,1,2,2,2,2
30Oct2020,3,2,2,4,1,2,2,2,2
31Oct2020,3,2,2,4,1,2,2,2,2
01Nov2020,3,2,2,4,1,2,2,2,2
