date,c1,c2,c3,c4,c5,c6,c7,c8,h1
25Mar2021,0,0,1,1,1,0,1,1,1
26Mar2021,0,0,1,1,1,0,1,1,1
27Mar2021,0,0,1,1,1,0,0,1,1
28Mar2021,0,0,1,1,1,0,0,1,1
29Mar2021,0,0,1,1,1,0,0,1,1
30Mar2021,0,0,1,1,1,0,0,1,1
31Mar2021,0,0,1,1,1,0,0,1,1
01Apr2021,0,0,1,1,1,0,0,1,1
02Apr2021,0,0,1,1,1,0,0,1,1
03Apr2021,0,0,1,1,1,0,0,1,1
04Apr2021,0,0,1,1,1,0,0,1,1
05Apr2021,0,0,1,1,1,0,0,1,1
06Apr2021,0,0,1,1,1,0,0,1,1
07Apr2021,0,0,1,1,1,0,0,1,1
08Apr2021,0,0,1,1,1,0,0,1,1
09Apr2021,0,0,1,1,1,0,0,1,1
10Apr2021,0,0,1,1,1,0,0,1,1
11Apr2021,0,0,1,1,1,0,0,1,1
12Apr2021,1,1,1,1,1,,0,1,1
13Apr2021,1,1,1,1,1,,0,1,1
14Apr2021,1,1,1,1,1,,0,1,1
15Apr2021,1,1,1,1,1,,0,1,1
16Apr2021,1,1,1,1,1,,0,1,1
17Apr2021,1,1,1,1,1,,0,1,1
18Apr2021,1,1,1,1,1,,0,1,1
19Apr2021,1,1,1,1,1,,0,1,1
20Apr2021,1,1,1,1,1,,0,1,1
21Apr2021,1,1,1,1,1,,0,1,1
22Apr2021,1,1,1,1,1,,0,1,1
23Apr2021,1,1,1,1,1,,0,1,1
24Apr2021,1,1,1,1,1,,0,1,1
25Apr2021,1,1,1,1,1,,0,1,1
26Apr2021,1,1,1,1,1,,0,1,1
27Apr2021,1,1,1,1,1,,0,1,1
28Apr2021,1,1,1,1,1,,0,1,1
29Apr2021,1,1,1,1,1,,0,1,1
30Apr2021,1,1,1,1,1,,0,1,1
01May2021,1,1,1,1,1,,0,1,1
02May2021,1,1,1,1,1,,0,1,1
03May2021,1,1,1,0,1,,0,1,1
04May2021,1,1,1,0,1,,0,1,1
05May2021,1,1,1,0,1,,0,1,1
06May2021,1,1,1,0,1,,0,1,1
07May2021,1,1,1,0,1,,0,1,1
08May2021,1,1,1,0,1,,0,1,1
09May2021,1,1,1,0,1,,0,1,1
10May2021,1,1,1,0,1,,0,1,1
11May2021,1,1,1,0,1,,0,1,1
12May2021,1,1,1,0,1,,0,1,1
13May2021,1,1,1,0,1,,0,1,1
14May2021,1,1,1,0,1,,0,1,1
15May2021,1,1,1,0,1,,0,1,1
16May2021,1,1,1,0,1,,0,1,1
17May2021,1,1,0,0,1,,0,1,1
18May2021,1,1,0,0,1,,0,1,1
19May2021,1,1,0,0,1,,0,1,1
20May2021,1,1,0,0,1,,0,1,1
21May2021,1,1,0,0,1,,0,1,1
22May2021,1,1,0,0,1,,0,1,1
23May2021,1,1,0,0,1,,0,1,1
24May2021,1,1,0,0,1,,0,1,1
25May2021,1,1,0,0,1,,0,1,1
26May2021,1,1,0,0,1,,0,1,1
27May2021,1,1,0,0,1,,0,1,1
28May2021,1,1,0,0,1,,0,1,1
29May2021,1,1,0,0,1,,0,1,1
30May2021,1,1,0,0,1,,0,1,1
31May2021,1,1,0,0,1,,0,1,1
01Jun2021,1,1,0,0,1,,0,1,1
02Jun2021,1,1,0,0,1,,0,1,1
03Jun2021,1,1,0,0,1,,0,1,1
04Jun2021,1,1,0,0,1,,0,1,1
05Jun2021,1,1,1,0,1,,,1,1
06Jun2021,1,1,1,0,1,,,1,1
07Jun2021,1,1,1,0,1,,,1,1
08Jun2021,1,1,1,0,1,,,1,1
09Jun2021,1,1,1,0,1,,,1,1
10Jun2021,1,1,1,0,1,,,1,1
11Jun2021,1,1,1,0,1,,,1,1
12Jun2021,1,1,1,0,1,,,1,1
13Jun2021,1,1,1,0,1,,,1,1
14Jun2021,1,1,1,0,1,,,1,1
15Jun2021,1,1,1,0,1,,,1,1
16Jun2021,1,1,1,0,1,,,1,1
17Jun2021,1,1,1,0,1,,,1,1
18Jun2021,1,1,1,0,1,,,1,1
19Jun2021,1,1,1,0,1,,,1,1
20Jun2021,1,1,1,0,1,,,1,1
21Jun2021,1,1,1,0,1,,,1,1
22Jun2021,1,1,1,0,1,,,1,1
23Jun2021,1,1,1,0,1,,,1,1
24Jun2021,1,1,1,0,1,,,1,1
25Jun2021,1,1,1,0,1,,,1,1
26Jun2021,1,1,1,0,1,,,1,1
27Jun2021,1,1,1,0,1,,,1,1
28Jun2021,1,1,1,0,1,,,1,1
29Jun2021,1,1,1,0,1,,,1,1
30Jun2021,1,1,1,0,1,,,1,1
01Jul2021,1,1,1,0,1,,,1,1
